"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia","localidadMayusculas","codProv","factorPonderacion"
"@CanelaRadioEc  una entrada para el circo de los hermanos GASCA para ir con mi hija",FALSE,0,"CanelaRadioEc","14/07/2017 16:20",FALSE,NA,"8,85897E+17","2411790656","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","genesisquevedo1",1,FALSE,FALSE,NA,NA,"CanelaRadioEc  una entrada para el circo de los hermanos GASCA para ir con mi hija","CanelaRadioEcunaentradaparaelcircodeloshermanosGASCAparairconmihija",751,6,0,22,NA,0.272727272727273,NA,25,0
"@CanelaRadioEc una entrada para el circo xfa @Pepetoala",FALSE,0,"CanelaRadioEc","14/07/2017 16:18",FALSE,NA,"8,85896E+17","2411790656","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","marcosmedina66",1,FALSE,FALSE,NA,NA,"CanelaRadioEc una entrada para el circo xfa Pepetoala","CanelaRadioEcunaentradaparaelcircoxfaPepetoala",15276,264,11694,1100,"Guayas, Ecuador",0.24,"GUAYAS, ECUADOR",9,0
"@CanelaRadioEc una entrada para salsa <ed><U+00A0><U+00BD><ed><U+00B2><U+0083> viva @LoroHomero @Pepetoala",FALSE,0,"CanelaRadioEc","14/07/2017 14:54",FALSE,NA,"8,85875E+17","2411790656","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","LuisCalixto13",1,FALSE,FALSE,NA,NA,"CanelaRadioEc una entrada para salsa dUAUBDedUBUviva LoroHomero Pepetoala","CanelaRadioEcunaentradaparasalsadUAUBDedUBUvivaLoroHomeroPepetoala",1006,603,76,661,"Guayaquil, Ecuador",0.912254160363086,"GUAYAQUIL, ECUADOR",9,0
"@CanelaRadioEc una entradita por fa maria P<ed>a Arboleda alvear gitana",FALSE,0,"CanelaRadioEc","18/07/2017 16:24",FALSE,NA,"8,87347E+17","2411790656","<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","ma_pilla",0,FALSE,FALSE,NA,NA,"CanelaRadioEc una entradita por fa maria P<ed>a Arboleda alvear gitana","CanelaRadioEcunaentraditaporfamariaP<ed>aArboledaalveargitana",86,44,3,227,"Ecuador - guayaquil",0.193832599118943,"ECUADOR - GUAYAQUIL",9,0
"@CanelaRadioEc      van a sortear entradas de urban  o de salsa ?????!!",FALSE,0,"CanelaRadioEc","30/06/2017 5:54",FALSE,NA,"8,80666E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","donvicogeo_y",0,FALSE,FALSE,NA,NA,"CanelaRadioEc      van a sortear entradas de urban  o de salsa !","CanelaRadioEcvanasortearentradasdeurbanodesalsa!",303,15,17,72,"Panama",0.208333333333333,"PANAMA",25,0
"@CanelaRadioEc vecina reg<e1>lame una entrada https://t.co/uvDRLmSPRX",FALSE,0,"CanelaRadioEc","06/07/2017 15:11",FALSE,NA,"8,8298E+17","2411790656","<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""","Xavier_GomezT",1,FALSE,FALSE,NA,NA,"CanelaRadioEc vecina reg<e1>lame una entrada","CanelaRadioEcvecinareg<e1>lameunaentrada",1030,166,107,350,"Guayaquil",0.474285714285714,"GUAYAQUIL",9,0
"@canelaradioec venezolano",FALSE,0,"CanelaRadioEc","30/06/2017 14:56",FALSE,NA,"8,80802E+17","2411790656","<a href=\http://ubersocial.com\"" rel=\""nofollow\"">UberSocial for Android</a>""","ctivan83",1,FALSE,FALSE,NA,NA,"canelaradioec venezolano","canelaradioecvenezolano",1400,50,11,158,"en el Monumental",0.316455696202532,"EN EL MONUMENTAL",25,0
"@CanelaRadioEc  venezolano Oscar de Le<f3>n",FALSE,0,"CanelaRadioEc","30/06/2017 14:51",FALSE,NA,"8,80801E+17","2411790656","<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""","ATCDURAN",1,FALSE,FALSE,NA,NA,"CanelaRadioEc  venezolano Oscar de Le<f3>n","CanelaRadioEcvenezolanoOscardeLe<f3>n",18,0,0,80,NA,0,NA,25,0
"@CanelaRadioEc Verdad q peresa",FALSE,0,"CanelaRadioEc","10/07/2017 18:10",FALSE,"8,8408E+17","8,84475E+17","2411790656","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","MatildePibaque",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Verdad q peresa","CanelaRadioEcVerdadqperesa",145,0,92,13,NA,0,NA,25,0
"@CanelaRadioEc Victor Manuel Ana Espinoza yo quiero una entradita @Pepetoala  si Salsa viva yo quieroooo",FALSE,0,"CanelaRadioEc","30/06/2017 16:02",FALSE,NA,"8,80819E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","EspinozaFranco7",1,FALSE,FALSE,NA,NA,"CanelaRadioEc Victor Manuel Ana Espinoza yo quiero una entradita Pepetoala  si Salsa viva yo quieroooo","CanelaRadioEcVictorManuelAnaEspinozayoquierounaentraditaPepetoalasiSalsavivayoquieroooo",NA,NA,NA,NA,NA,NA,NA,25,0
"@CanelaRadioEc Victor Manuel cancion \si tu me besas\""""",FALSE,0,"CanelaRadioEc","30/06/2017 16:47",FALSE,NA,"8,8083E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","jorge1romerom",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Victor Manuel cancion i tu me besas""","CanelaRadioEcVictorManuelcancionitumebesas""",197,251,11,1524,"Salinas, Ecuador",0.164698162729659,"SALINAS, ECUADOR",24,0
"@CanelaRadioEc Victor Manuel.. Carmen Jaramillo .. Gye..",FALSE,0,"CanelaRadioEc","30/06/2017 16:03",FALSE,NA,"8,80819E+17","2411790656","<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","krmenjp",2,FALSE,FALSE,NA,NA,"CanelaRadioEc Victor Manuel Carmen Jaramillo  Gye","CanelaRadioEcVictorManuelCarmenJaramilloGye",248,35,67,88,"Guayas, Ecuador",0.397727272727273,"GUAYAS, ECUADOR",9,0
"@CanelaRadioEc V<ed>ctor Manuel <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,"CanelaRadioEc","30/06/2017 16:28",FALSE,NA,"8,80825E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","karina_abiga",0,FALSE,FALSE,NA,NA,"CanelaRadioEc V<ed>ctor Manuel dUAUBDedUBUD>","CanelaRadioEcV<ed>ctorManueldUAUBDedUBUD>",15781,280,507,585,"Guayaquil",0.478632478632479,"GUAYAQUIL",9,0
"@CanelaRadioEc victor manuel el interprete",FALSE,0,"CanelaRadioEc","30/06/2017 16:30",FALSE,NA,"8,80826E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","jinsopmora",0,FALSE,FALSE,NA,NA,"CanelaRadioEc victor manuel el interprete","CanelaRadioEcvictormanuelelinterprete",180,51,280,209,"guayaquil Ecuador",0.244019138755981,"GUAYAQUIL ECUADOR",9,0
"@CanelaRadioEc Victor Manuel es de Puerto Rico Puertorrique<f1>o @Pepetoala 
<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,"CanelaRadioEc","20/07/2017 14:27",FALSE,NA,"8,88043E+17","2411790656","<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","MARGARA1D",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Victor Manuel es de Puerto Rico Puertorrique<f1>o Pepetoala 
dUAUBDedUBUADedUAUBDedUBUADedUAUBDedUBUAD>","CanelaRadioEcVictorManuelesdePuertoRicoPuertorrique<f1>oPepetoaladUAUBDedUBUADedUAUBDedUBUADedUAUBDedUBUAD>",1381,154,1547,207,"Guayaquil, Ecuador",0.743961352657005,"GUAYAQUIL, ECUADOR",9,0
"@CanelaRadioEc V<ed>ctor Manuel es de puerto rico soy Mar<ed>a P<ed>a Arboleda Alvear",FALSE,0,"CanelaRadioEc","07/07/2017 16:30",FALSE,NA,"8,83363E+17","2411790656","<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","ma_pilla",0,FALSE,FALSE,NA,NA,"CanelaRadioEc V<ed>ctor Manuel es de puerto rico soy Mar<ed>a P<ed>a Arboleda Alvear","CanelaRadioEcV<ed>ctorManuelesdepuertoricosoyMar<ed>aP<ed>aArboledaAlvear",86,44,3,227,"Ecuador - guayaquil",0.193832599118943,"ECUADOR - GUAYAQUIL",9,0
"@CanelaRadioEc victor manuel es estadounidense",FALSE,0,"CanelaRadioEc","20/07/2017 14:29",FALSE,NA,"8,88043E+17","2411790656","<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","princesitaDios",0,FALSE,FALSE,NA,NA,"CanelaRadioEc victor manuel es estadounidense","CanelaRadioEcvictormanuelesestadounidense",1575,216,60,977,"Ecuador",0.221084953940635,"ECUADOR",25,0
"@CanelaRadioEc victor manuel es estadounidense saludos",FALSE,0,"CanelaRadioEc","20/07/2017 14:30",FALSE,NA,"8,88043E+17","2411790656","<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","princesitaDios",0,FALSE,FALSE,NA,NA,"CanelaRadioEc victor manuel es estadounidense saludos","CanelaRadioEcvictormanuelesestadounidensesaludos",1575,216,60,977,"Ecuador",0.221084953940635,"ECUADOR",25,0
"@CanelaRadioEc victor Manuel 
Fernando Ventura Morales",FALSE,0,"CanelaRadioEc","29/06/2017 16:21",FALSE,NA,"8,80461E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","V15Fernando",1,FALSE,FALSE,NA,NA,"CanelaRadioEc victor Manuel 
Fernando Ventura Morales","CanelaRadioEcvictorManuelFernandoVenturaMorales",36,26,6,257,NA,0.101167315175097,NA,25,0
"@CanelaRadioEc Victor Manuel  he tratado..canelocos",FALSE,0,"CanelaRadioEc","17/07/2017 15:59",FALSE,NA,"8,86979E+17","2411790656","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","Carito04633026",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Victor Manuel  he tratadocanelocos","CanelaRadioEcVictorManuelhetratadocanelocos",180,32,1757,92,NA,0.347826086956522,NA,25,0
