"text","polaridadSVM"
"#WQNoticias Tr<e1>fico en el centro de #Guayaquil por gresca entre taxistas amarillos e informales. https://t.co/kHXcce7AMS",0
"@LoroHomero @AsambleaEcuador Semanas atr<e1>s lo dijo en la <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>, no recibir el <ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>; pero si los otros no reciben, hay si e<U+0085> https://t.co/yPmkUELYDK",0
"RT @MetroStereo: Hey! C<f3>mo te sientes en este inicio de semana! Deja un n<fa>mero en la escala de @Pink #OnAir @KarlyCode through the #RouteOf<U+0085>",0
"#Virgo Hoy no seas impaciente ya que nada bueno te va a llevar y solo te vas a meter en problemas por tu mala cabeza.",0
"@WQRadio_EC @silvitabuendia Ella defiende s<f3>lo los derechos humanos de quienes le caen bien. Cuando ataca y es gros<U+0085> https://t.co/r1RAq7RZXb",0
"quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @CanelaRadioEc",1
"RT @MusicBusinessEC: Escuchas a @JelozMusic con #MaquinaDeAmores en @CanelaRadioEc #Guayaquil.",0
"Kanye West, Dwayne Johnson son algunos de los famosos que desean ser presidentes de EU",0
"@CanelaRadioEc @Pepetoala saludos radiaci<f3>n temprana la respuesta es ASIA DE WILLY COLON",1
"@vagosconsuerte @CanelaRadioEc @ExxonDj @rpadpre @jalaldubois @carloaguilarn1 Donde puedo consultar a Carlota y Maruja de forma privada",0
"#WQNoticias Len<ed>n Moreno asegur<f3> que su Gobierno apostar<e1> por la transparencia con el periodismo, al pedir que denu<U+0085> https://t.co/5qYsGCAJ47",0
"RT @GardeniaTrivino: @CanelaRadioEc Participando para el Circo Nazca @LoroHomero  Saludos",0
"@CanelaRadioEc #yovoyasalsaviva <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>",0
"RT @MarcosZerna: @CanelaRadioEc Asia Willie colon",1
"@WQRadio_EC @_CarlosRivera @GdZOficial  @WQRadio_EC: <U+00A1>Suena #LoDigo de @_CarlosRivera y @GdZOficial en<U+0085> https://t.co/pZrJpPLwq0",1
"@AVAstudillo ,@radiopublicaEC ,@LaOtraRadioec ,pedimos urgente batidas y sancion a.vende perros en mercados  ord.048 https://t.co/mUMaLrMV2r",0
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

@CanelaRadioEc 

<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis

<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis

<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero",0
"@WQRadio_EC @SoyFherWQradio en #CalentamientoRadialWQ quiero escuchar el remix #M<e1>sQueAyer de Rakim<U+00A0> y Ken-Y ft Arcangel &amp, DeLaGhetto<U+2764>",1
"Pharrell Williams trabaja en disco de Ariana Grande, lo nuevo de Justin Timberlake tambi<e9>n es parte de su repertorio laboral",0
"#RIPChesterBennigton <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> https://t.co/zPt7S2CUdd",0
"RT @claraluisasant1: @CanelaRadioEc @Pepetoala  FALTAN 16 DIAS",0
"Noche destinada para los panas de La Vieja Guardia en El Ma<f1>anero con @AlespiAndrade chaca chaca uuuuuuuuuuu empezamos a contarles <ed><U+00A0><U+00BD><ed><U+00B8><U+0088>",0
"RT @ERICKDANNYY: @CanelaRadioEc  #DaddyYankee  #DaddyEnQuito  @daddy_yankee   @DYMFC_ECUADOR con ganas de ir al show  #DYARMY https://t.co/<U+0085>",0
"Hola @ExaFmEcuador    quisiera escuchar la cancion de FelicesLos4 FL4 de maluma por favor para MalumaFamilyNL <U+2764>8",1
"RT @grey936y: @MetroStereo #retometro greycabrera G green day; R R.E.M ; E evanecense ; Y yelow card",1
"RT @Ale18Lis: #UnAmorDeVerdad <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> en @WQRadio_EC  de @ReikMx  @MundoReikEc @SonyMusicEC",1
"@CanelaRadioEc hola muchachos bendiciones a todos saludos a vieja Laura",0
"RT @carxabriones: @CanelaRadioEc @Lavecinatomas @kattygarciam es la traga sable jajajaja",0
"#WQNoticias Registro Civil renovar<e1> c<e9>dulas en 7 consulados de Ecuador repartidos en USA, Venezuela, Espa<f1>a e Itali<U+0085> https://t.co/w8zxl5f5s1",0
"RT @LosJosemas: Vota por el #Qu<e9>Asco de la semana <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2> y no te ganes ning<fa>n premio <ed><U+00A0><U+00BE><ed><U+00B5><U+0087> @CanelaRadioEc &lt;&lt;&lt;nominados por el p<fa>blico&gt;&gt;&gt;",0
"@Pepetoala @CanelaRadioEc OSCAR D'LE<d3>N ES VENEZOLANO",1
"RT @RoseGoyburo: @CanelaRadioEc @Pepetoala Se llama Asia. Quiero entradaaa. ROSA GOYBURO",1
"@CanelaRadioEc Victor Manuel.. pilas gente",0
"#Cuman<e1> En estos momentos en entrevista en el programa ""Construyendo Patria Sucre"" por Su Radio 95.9 FM.... https://t.co/XU05tMjlMB",0
"<U+00A1>La m<fa>sica que te enciende en la tarde la escuchas junto a @SoyFherWQradio #CalentamientoRadialWQ <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>102.1Fm.",0
"Suena ahora #DejaQueTeBese de @AlejandroSanz ft. @MarcAnthony en #OxigenoWQ #WQRADIO",1
"RT @grimogg: Gracias @MetroStereo por este super regalo del d<ed>a del Rock de #gunsnroses !!! Ayer por fin logre retirar mi premio! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https:/<U+0085>",0
"RT @KevinAstudilloC: Pilas esa entrada al circo @CanelaRadioEc",0
"Se necesita, edad entre 25/ 30 a<f1>os, experiencia comprobada de 5 a<f1>os, responsable, honrado. Enviar CV: rrhhventsec@hotmail.com.",0
"RT @cuchita_aguilar: @Pepetoala @CanelaRadioEc faltan 17 dias para el concierto ... saludos ... erika aguilar :)",0
"Se solicita con experiencia en Jefatura de Compras. Traer hoja de vida:  Jun<ed>n 114 y Malec<f3>n, Edificio Torres del R<ed>o, piso 6, oficina 3.",0
"@FutGooolEc @ClanJuvenilCD @radio_sucre Puede tomar cualquier medida pero debe retirarse. Hoy en d<ed>a es un paquetaz<U+0085> https://t.co/ahKgcEFidm",0
"RT @QuindeDouglas: @CanelaRadioEc  @Pepetoala la nacionalidad de Oscar de Leon es Venezolano soy Douglas Quinde Garrido",0
"#WQNoticias @BaironValleD: <U+0093>El archivo obedece a cuestiones legales. Principios establecidos en la constituci<f3>n<U+0094>.",0
"Hola @WQRadio_EC, me gustaria mucho escuchar el temazo #LOCA de Maite Perroni para bailar con esse reggaeton <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083> Gracias <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",1
"@CanelaRadioEc la canci<f3>n se llama gitana soy Marcelo Rodr<ed>guez cevallos",1
"@MIES_Zona8 @GeovannyCanar @IvanEspinelM @SchezFernandez @radio_sucre @radiosonorama @radiopublicaEC @Jpguayaquil<U+0085> https://t.co/6V0qavvpwZ",0
"<U+26A1><U+FE0F>Cool Morning<U+26A1><U+FE0F> A mitad de tu semana, #Np @Audioslave en el #Breakfast ft @Teff_Palacios <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #GoodVibes https://t.co/YA6iCtH9q1",1
"#LEO Lo mejor ser<e1> que te disculpes ante un buen amigo al que, sin ser consciente de ello, heriste de alguna manera.",0
"@marcoscumba gracias por complacerme cn tema de Cristina aguilera escuchandote #oxigeno  @WQRadio_EC #promoecuadorjyb <U+2764>",1
"@CanelaRadioEc #cocinadoecuador saludos a mi conejita pacheco que la amo con todo mi coraz<f3>n de su osito Pacheco. Saludos canela..!!",0
"RT @nela_banchon: Hola <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> @WQRadio_EC me ayuda con #QuedateConmigo de @jesusmiranda <ed><U+00A0><U+00BD><ed><U+00B2><U+0083>gracias  y Buenas noches <U+270C> 
@chynomiranda_ec @ArtistGru<U+0085>",1
"#ESTRENO @MichelleCorde #AlmaDeCart<f3>n #MichelleCordero  #ECUADOR @AlfaRadioEc @LaOtraRadioec @CanelaRadioEc  https://t.co/rf1IHCkY1d",0
".@RhomyArteagaF subsec @SenpladesEc #Zona8Ec, difundi<f3> #PlanNacionalDesarrollo en @teleradio1350 @RadioMorena<U+0085> https://t.co/DE5b5ZDWFa",0
"RT @vagosconsuerte: Llegamos!!!!! Quien quiere pollo????? Conteste bonito y gana entradas a Daddy Yankee https://t.co/ePEC5LJZeP",0
"RT @andreavasquez83: @MIES_Zona5 @vanessafreirev @radio_sucre @RadioLibre9 Los j<f3>venes pueden promover proyectos culturales, educativos y d<U+0085>",0
"@MetroStereo @KarlyCode @Pink 3... <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0086>",0
"Quinteros sobre @DelfinSC

""Gan<f3> la etapa Delf<ed>n es el mejor equipo. Tienen un gran entrenador que ha formado un gra<U+0085> https://t.co/6jf02vvbL4",0
"RT @thaliayalberto: @CanelaRadioEc  @Pepetoala  el faraon de la salsa #Oscar D'Leon 

Thalia Quito",1
"20 aniooosss <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/B46hRc6cQd",0
"Excelente sueldo y beneficios de ley. (04)2-801404; (04)2-801405; rrhh@fullpacktex.com.ec.",0
"Hola @WQRadio_EC  pueden poner toda la noche de @JostinRamirezp  @soywilsonfranco  @melivm27",1
"@camilin86 @radio_sucre: Paz <U+0093>Les dije a los jugadores se comieron un<U+00A0>t<e9>cnico<U+0094> https://t.co/ogqiGKSXK4",0
"Sonando en @ExaFmEcuador ONE MILLON PEOPLE <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> 



@oval_sound @mxkthy",0
"@CanelaRadioEc @Pepetoala estadounidense Janeth flores",0
"Sigue el recorrido y llegada de @MashiRafael al aeropuerto de #Tababela a trav<e9>s de FB LIVE:<U+0085> https://t.co/sv4vajEWH7",0
"RT @gloriaandrader: Agenda de eventos por mes de Guayaquil de la @GoberdelGuayas Cc: @VannyCentanaroV @ecu911sambo @Cristian_pinoar @radio_<U+0085>",0
"RT @stefamatyualex: <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>  

#DaddyEnQuito 

<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

@CanelaRadioEc 

<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis",0
"RT @ladymelanie96: @CanelaRadioEc @Pepetoala  el segundo nombre de Hildita es muy dificil, la cancion la canta Victor Manuelle.",0
"Nuevo amor de Rihanna sal<ed>a con Naomi Campbell https://t.co/uigrFsQ2c8",1
"RT @princesa1hada: @radio_sucre Somos libres de construir en nuestro territorio lo que sea y el Per<fa> por estar con mucho armamento no nos i<U+0085>",0
"""Radio Monta<f1>a 3 Oficial"": Precipitaciones d<e9>biles en Sucre, Anzo<e1>tegui, Mira... https://t.co/eIyrgsy5r8",0
"RT @javilichito: @LaOtraRadioec  
#conlascobijasalaire
Saludo para Maite y Estefania que van con la abuelita a pasear",0
"Hoy @Teff_Palacios incre<ed>ble inicio de martes! Con Disturb, Metallica, Drowning pool, etc. Saludos a todos all<e1> en cabina @MetroStereo",0
"@wironayib91 @IGecuador @radio_sucre Ahhh con razon",0
"Llega tu momento de votar en el Vs <ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BE><ed><U+00B4><U+009B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> de #SonidosTricolor<ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8> x #RainRockBand o @LolasRiot para un M2 #Breakfast ft @Teff_Palacios",0
"Sonando #UnAmorDeVerdad de @ReikMx en @WQRadio_EC <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Cc. @MundoReikEc",1
"En #WQNoticias con la Lcda. Daniela Fern<e1>ndez, Directora de la Unidad Profesionalizantes de @ucasagrande.
Escucha<U+0085> https://t.co/Z8PoHcJDO7",0
"RT @claudiomartino: Encuesta #MetroStereo:
<U+00BF>Cual es tu d<e9>cada musical favorita?
Cc @majogm",0
"#EnamorateConLaOtra Hombre de buena talla y lindos ojos, soy  ingeniero y busco una mujer en Quito
E-mail:   fuegoenelcorazon15@hotmail.com",0
"@AdriOsorioLuna Incre<ed>ble @ecuavisa @radiocentroec @radio_sucre",0
"@labrujaecuador no gusta hablan demasiado <ed><U+00A0><U+00BD><ed><U+00B8><U+00B0><ed><U+00A0><U+00BD><ed><U+00B8><U+00B0>",0
"Se solicita con experiencia en m<e1>quina recta, overlock, recubridora. 099-4544128.",0
"@Pepetoala  @CanelaRadioEc Gitana de Willy Colon mi nombre es Holger Aroca y soy de Guayaquil...",1
"RT @radio_sucre: Paz <U+0093>Les dije a los jugadores se comieron un<U+00A0>t<e9>cnico<U+0094> https://t.co/MblsfRapfi",0
"RT @silvitabuendia: Al aire en @WQRadio_EC para hablar sobre femicidio y violencia de g<e9>nero",0
"Brutal represi<f3>n chavista en Barinas: un joven qued<f3> inconsciente tras una golpiza de la<U+0085> https://t.co/NhptRfeaYx https://t.co/hOjnovwrp9",0
"#WQNoticias Ecuador busca convertirse en verdadera potencia tur<ed>stica aplicando la f<f3>rmula del 1x1, igual en habita<U+0085> https://t.co/t86nNa5aFC",0
"@MIES_Zona8 @GeovannyCanar @RolandoNavarroM @ronald_chavezo @DrWilliamPlua @IvanEspinelM @GoberdelGuayas<U+0085> https://t.co/2qbcMTOXFz",0
"@WQRadio_EC @JoelyBrian Son<f3> Incre<ed>ble #Elijo  gracias @angelochoar #Madelayne que maravillosa @WQRadio_EC 
#PromoEcuadorJyB",1
"Casilla 03 #AlfaTop20 Conteo Final
@ShawnMendes - There's Nothing Holding Me Back https://t.co/zzPxhIPhuO",0
"\Spider-Man\ conquista la taquilla norteamericana y destrona a \Mi villano favorito 3\",0
"RT @jucarbabra: Es venezolano naci<f3> en Caracas @Pepetoala @CanelaRadioEc @",0
"Se solicita Vendedor Comisionista, disponible para viajar. Dejar  Curr<ed>culum Vitae en: Chimborazo 1047 y Ayacucho <f3> en Col<f3>n 405- 407",0
"#Piscis Hoy no tengas temor a realizar cosas nuevas ya q estas te van a servir para mejorar en la vida y ser alguien mucho mejor..",0
"Requerimos con tiempo disponible para cargo de responsabilidad, cnc_2213hbl@hotmail.com.",0
"En el #Breakfast ft @Teff_Palacios, siempre ser<e1>s parte @ChesterBe. Estar<e1>s ah<ed>, donde nunca se muere, con tu energ<U+0085> https://t.co/FcnoPy1G3N",0
"* Hola porfaa aqu<ed> en sinton<ed>a con ustedes la mejor <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @Canelaradioec <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",1
"RT @rbermello95: @CanelaRadioEc @Pepetoala mi nombre  Ruben Vicente  Bermello Lainez 

R//vIctor Manuel y el segunso nombre de Hilda es Auro<U+0085>",0
"hola @ExaFmEcuador  nos pueden complacer conla  #Quedateconmigo de @jesusmiranda gracias!!! 

@ArtistGrup @UniversalMusicE @pvillalobosm",1
"Marat<f3>n del viernes @MalumaFamilyGye quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @CanelaRadioEc <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>",1
"RT @DY_David_: Si vas al concierto del #Jefe @daddy_yankee 

<fa>nete al #FanAction del @DYARMY_EQUADOR 

10 de Agosto #Ecuador  gracias a @Cane<U+0085>",0
"@CanelaRadioEc Holaa buenos dias @Pepetoala @LoroHomero  el interprete de la cancion \si tu me besas es\"" es #victor_Manuelle""",0
"#VueloAParis  bestial !  @WQRadio_EC @radiomakro @JohannVera1",0
"Shia Labeouf se disculpa por insultos racistas a polic<ed>as",0
"RT @mayitonavas: @WQRadio_EC por fa quisiera escuchar a @HugoArmijosEC con Dame una mirada <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> gracias!!",1
"@WQRadio_EC Buen d<ed>a @Anibal24Smith que grandioso es escucharte dando #Oxigeno en las ma<f1>anas abrazos d toda #PromoEcuadorJyB fullOidos!!",0
"@CanelaRadioEc @Pepetoala la respuesta es hilda aurora y V<ed>ctor Manuel es el artista mi nombre es lisett Herrera",0
"RT @FutGooolEc: Entrenamiento del @CSEmelec en el Polideportivo de Samanes.



Informa @Jrnochi

V<ed>deo @Radio_Sucre. https://t.co/SHuAmmK5EZ",0
"RT @secap_ec: Karla S<e1>nchez es locutora en radio @MetroStereo, ella aplic<f3> a la certificaci<f3>n en el sector comunicaci<f3>n #CertificamosTuExpe<U+0085>",0
"RT @radio_sucre: 35 a<f1>os de @radio_sucre  https://t.co/MA9lgMn8ll",0
"RT @lacamaragye:  La CCG a trav<e9>s del @CeEcuatoriano  est<e1> aportando con propuestas propositivas, sobre todo en el tema tributario  @JCDGM<U+0085>",0
"@CanelaRadioEc @Pepetoala es venezolano",0
"@CanelaRadioEc quiero ir al concierto de salsa viva",0
"@angelochoar me gustaria escuchar un temita de los @backstreetboys xfis x #lanochewq @WQRadio_EC #promoecuadorjyb",1
"@LoroHomero @CanelaRadioEc Una entrada xfaaaaa",0
"Ventas - Presentarse: Distribuidor CNT, Chimborazo 418 y Clemente Ball<e9>n, 1er piso, oficina 105.",0
"#WQNoticias Lcda. Daniela Fern<e1>ndez:  Tenemos 180 estudiantes.  @ucasagrande",0
"RT @angelmax69: #yovoyasalsaviva @CanelaRadioEc @Pepetoala quiero esas entradas!",0
"@CanelaRadioEc @Pepetoala maria asanza

estadounidense victor manuelle33",0
"Kendall Jenner recibe amenazas de un fan obsesionado",0
"@CanelaRadioEc Jorge Rivera Castro https://t.co/V1EW9vWmvm",0
"Pitbull ser<e1> anfitri<f3>n de una fiesta de cuatro d<ed>as en un crucero",0
"RT @takashijakome: El invierno me dejo algo cansado #Trenes @revesecuador #NP por @labrujaecuador de las mejores bandas para disfrutar <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",0
"Hola @WQRadio_EC  quieto escuchar pensando en ti mujer de @JostinRamirezp",1
"Rober Burbano

""El equipo individual y colectivo venia bien, los <fa>ltimos partidos nos falto concretar el rival aprov<U+0085> https://t.co/FjETjjsZyS",0
"Productores llevan un a<f1>o trabajando en espect<e1>culo de Britney Spears, que costar<e1> m<e1>s de 2 mdd",0
"\The Keepers\"", de Netflix, trata sobre una investigaci<f3>n plena de suspenso sobre el asesinato cometido en 1969""",0
"RT @labrujaecuador: @PANCHOTELLO88 visitando la cabina m<e1>gica !!! https://t.co/sHNG02HYah",0
"@Pepetoala @CanelaRadioEc esta rica esa concha",0
"@CanelaRadioEc victor manuel el interprete",0
"@WQRadio_EC por fa quisiera escuchar a @HugoArmijosEC con Dame una mirada <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> gracias!!",1
"@rminchalam:  Hay mucha gente que quiere estudiar y trabajar enseguida y busca carreras cortas .  v<ed>a @WQRadio_EC https://t.co/ojeWbSWctm",0
"Holaa buen dia @Anibal24Smith qe tengas un bendecido martes!! Salud desd #chile #oxigeno @WQRadio_EC #promoecuadorjyb",0
"Buenas Tardes @CanelaRadioEc me podr<ed>an complacer con la canci<f3>n #MiGente <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> de @JBALVIN <U+26A1><U+FE0F><U+26A1><U+FE0F> @jbalvin_ecuador  Gracias !",1
